system,func,method,noise,seed,iters,conv,E
t0_benzene,b3lyp5,diis,3e-08,20,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,21,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,22,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,23,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,24,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,25,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,26,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,27,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,28,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,29,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,3,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,30,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,4,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,5,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,6,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,7,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,8,100,False,-231.93883363
t0_benzene,b3lyp5,diis,3e-08,9,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,0e+00,1,39,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,1,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,10,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,11,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,12,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,13,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,14,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,15,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,16,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,17,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,18,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,19,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,2,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,20,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,21,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,22,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,23,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,24,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,25,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,26,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,27,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,28,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,29,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,3,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,30,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,4,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,5,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,6,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,7,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,8,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-07,9,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,1,35,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,10,32,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,11,30,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,12,35,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,13,33,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,14,36,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,15,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,16,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,17,34,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,18,35,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,19,58,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,2,63,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,20,34,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,21,26,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,22,27,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,23,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,24,54,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,25,36,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,26,28,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,27,51,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,28,28,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,29,36,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,3,39,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,30,35,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,4,24,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,5,36,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,6,26,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,7,44,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,8,27,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-08,9,39,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,1,27,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,10,37,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,11,57,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,12,32,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,13,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,14,35,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,15,26,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,16,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,17,24,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,18,27,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,19,34,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,2,26,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,20,32,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,21,33,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,22,33,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,23,26,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,24,32,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,25,34,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,26,37,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,27,49,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,28,36,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,29,32,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,3,36,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,30,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,4,49,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,5,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,6,31,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,7,28,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,8,29,True,-231.93883363
t0_benzene,b3lyp5,ensemble,1e-09,9,82,True,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,1,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,10,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,11,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,12,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,13,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,14,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,15,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,16,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,17,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,18,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,19,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,2,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,20,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,21,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,22,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,23,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,24,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,25,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,26,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,27,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,28,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,29,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,3,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,30,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,4,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,5,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,6,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,7,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,8,100,False,-231.93883363
t0_benzene,b3lyp5,ensemble,3e-08,9,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,0e+00,1,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,1,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,10,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,11,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,12,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,13,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,14,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,15,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,16,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,17,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,18,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,19,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,2,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,20,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,21,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,22,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,23,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,24,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,25,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,26,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,1e-07,27,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,1e-07,28,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,1e-07,29,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,1e-07,3,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,30,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,1e-07,4,100,False,-231.93740487
t0_benzene,b3lyp5,histqn,1e-07,5,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,6,100,False,-231.93820464
t0_benzene,b3lyp5,histqn,1e-07,7,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,8,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-07,9,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,1,31,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,10,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,11,33,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,12,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,13,34,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,14,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,15,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,16,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,17,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,18,33,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,19,36,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,2,34,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,20,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,21,35,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,22,33,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,23,33,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,24,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,25,34,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,26,35,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,27,34,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,28,33,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,29,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,3,33,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,30,31,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,4,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,5,37,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,6,33,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,7,32,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,8,31,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-08,9,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,1,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,10,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,11,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,12,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,13,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,14,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,15,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,16,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,17,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,18,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,19,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,2,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,20,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,21,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,22,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,23,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,24,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,25,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,26,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,27,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,28,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,29,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,3,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,30,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,4,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,5,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,6,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,7,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,8,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,1e-09,9,30,True,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,1,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,10,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,11,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,12,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,13,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,14,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,15,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,16,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,3e-08,17,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,3e-08,18,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,3e-08,19,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,3e-08,2,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,20,-1,TIMEOUT,nan
t0_benzene,b3lyp5,histqn,3e-08,21,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,22,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,23,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,24,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,25,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,26,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,27,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,28,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,29,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,3,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,30,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,4,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,5,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,6,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,7,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,8,100,False,-231.93883363
t0_benzene,b3lyp5,histqn,3e-08,9,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,0e+00,1,51,True,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,1,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,10,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,11,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,12,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,13,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,14,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,15,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,16,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,17,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,18,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,19,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,2,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,20,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,21,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,22,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,23,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,24,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,25,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,26,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,27,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,28,100,False,-231.93883363
t0_benzene,b3lyp5,soscf,1e-07,29,100,False,-231.93883363
