system,tier,ref,mult,func,converger,natom,charge,converged,niter,time,E
t0_nh3,0,rhf,1,b3lypv5,soscf,4,0,True,11,7.6,-56.4735634773
t0_nh3,0,rhf,1,b3lypv5,ediis,4,0,True,61,12.06,-56.4735634773
t0_nh3,0,rhf,1,b3lypv5,trah,4,0,True,4,8.9,-56.4735634773
t0_benzene,0,rhf,1,hf,cdiis,12,0,True,29,25.13,-230.5540643753
t0_benzene,0,rhf,1,hf,soscf,12,0,True,11,21.91,-230.5540643753
t0_benzene,0,rhf,1,hf,adiis,12,0,True,31,29.01,-230.5540643753
t0_benzene,0,rhf,1,hf,ediis,12,0,True,65,36.37,-230.5540643753
t0_benzene,0,rhf,1,hf,trah,12,0,True,3,13.87,-230.5540643753
t0_benzene,0,rhf,1,b3lypv5,cdiis,12,0,True,25,80.42,-231.9388407060
t0_benzene,0,rhf,1,b3lypv5,soscf,12,0,True,13,71.61,-231.9388407059
t0_o2,0,uhf,3,hf,cdiis,2,0,True,13,1.17,-149.4939967112
t0_o2,0,uhf,3,hf,ediis,2,0,True,65,1.98,-149.4939967112
t0_o2,0,uhf,3,hf,adiis,2,0,True,33,1.21,-149.4939967112
t0_o2,0,uhf,3,hf,soscf,2,0,True,13,1.12,-149.4939967112
t0_o2,0,uhf,3,hf,trah,2,0,True,3,1.12,-149.4939967112
t0_benzene,0,rhf,1,b3lypv5,ediis,12,0,True,30,88.0,-231.9388407059
t0_o2,0,uhf,3,b3lypv5,cdiis,2,0,True,10,5.42,-150.1489223974
t0_o2,0,uhf,3,b3lypv5,ediis,2,0,True,39,7.41,-150.1489223974
t0_benzene,0,rhf,1,b3lypv5,adiis,12,0,True,33,90.09,-231.9388407059
t0_o2,0,uhf,3,b3lypv5,adiis,2,0,True,30,6.63,-150.1489223974
t0_o2,0,rohf,3,hf,cdiis,2,0,True,22,2.62,-149.4742794712
t0_o2,0,uhf,3,b3lypv5,trah,2,0,True,4,5.22,-150.1489223974
t0_o2,0,uhf,3,b3lypv5,soscf,2,0,True,11,5.59,-150.1489223974
t0_o2,0,rohf,3,hf,soscf,2,0,True,23,2.17,-149.4742794712
t0_o2,0,rohf,3,hf,ediis,2,0,True,62,2.95,-149.4742794712
t0_o2,0,rohf,3,hf,adiis,2,0,True,41,2.64,-149.4742794712
t0_o2,0,rohf,3,hf,trah,2,0,True,19,2.47,-149.4742794712
t0_o2,0,rohf,3,b3lypv5,cdiis,2,0,True,10,5.38,-150.1449858888
t0_o2,0,rohf,3,b3lypv5,ediis,2,0,True,42,7.52,-150.1449858888
t0_o2,0,rohf,3,b3lypv5,adiis,2,0,True,29,6.58,-150.1449858888
t0_ch3,0,uhf,2,hf,cdiis,4,0,True,13,1.11,-39.5355066277
t0_o2,0,rohf,3,b3lypv5,soscf,2,0,True,10,5.35,-150.1449858888
t0_ch3,0,uhf,2,hf,adiis,4,0,True,34,1.21,-39.5355066277
t0_ch3,0,uhf,2,hf,ediis,4,0,True,95,2.36,-39.5355066277
t0_ch3,0,uhf,2,hf,soscf,4,0,True,15,1.11,-39.5355066277
t0_o2,0,rohf,3,b3lypv5,trah,2,0,True,4,5.34,-150.1449858888
t0_ch3,0,uhf,2,hf,trah,4,0,True,3,1.01,-39.5355066277
t0_ch3,0,uhf,2,b3lypv5,cdiis,4,0,True,11,9.33,-39.7780446610
t0_ch3,0,uhf,2,b3lypv5,adiis,4,0,True,31,11.32,-39.7780446610
t0_benzene,0,rhf,1,b3lypv5,trah,12,0,True,4,52.11,-231.9388407059
t0_ch3,0,uhf,2,b3lypv5,ediis,4,0,True,46,13.12,-39.7780446610
t0_ch3,0,rohf,2,hf,cdiis,4,0,True,11,1.08,-39.5314158333
t0_ch3,0,rohf,2,hf,ediis,4,0,True,52,1.68,-39.5314158333
t0_ch3,0,rohf,2,hf,adiis,4,0,True,31,1.18,-39.5314158333
t0_ch3,0,rohf,2,hf,soscf,4,0,True,12,1.07,-39.5314158333
t0_ch3,0,rohf,2,hf,trah,4,0,True,4,1.1,-39.5314158333
t0_ch3,0,uhf,2,b3lypv5,soscf,4,0,True,11,9.09,-39.7780446610
t0_ch3,0,rohf,2,b3lypv5,cdiis,4,0,True,10,9.15,-39.7765865607
t0_ch3,0,rohf,2,b3lypv5,ediis,4,0,True,43,12.73,-39.7765865607
t0_ch3,0,rohf,2,b3lypv5,adiis,4,0,True,30,11.24,-39.7765865607
t0_ch3,0,uhf,2,b3lypv5,trah,4,0,True,3,19.28,-39.7780446610
t0_ch3,0,rohf,2,b3lypv5,trah,4,0,True,3,5.78,-39.7765865607
t0_ch3,0,rohf,2,b3lypv5,soscf,4,0,True,9,9.44,-39.7765865607
t1_glycine,1,rhf,1,hf,cdiis,10,0,True,17,13.83,-282.6267002902
t1_glycine,1,rhf,1,hf,soscf,10,0,True,16,13.91,-282.6267002902
t1_glycine,1,rhf,1,hf,adiis,10,0,True,36,17.95,-282.6267002902
t1_glycine,1,rhf,1,hf,trah,10,0,True,4,11.72,-282.6267002902
t1_glycine,1,rhf,1,hf,ediis,10,0,True,83,24.34,-282.6267002902
t1_glycine,1,rhf,1,b3lypv5,cdiis,10,0,True,16,50.06,-284.0762255920
t1_glycine,1,rhf,1,b3lypv5,soscf,10,0,True,22,54.25,-284.0762255920
t1_glycine,1,rhf,1,b3lypv5,ediis,10,0,True,25,57.08,-284.0762255920
t1_glycine,1,rhf,1,b3lypv5,adiis,10,0,True,45,69.25,-284.0762255920
t1_c8,1,rhf,1,hf,cdiis,18,0,True,29,52.7,-308.2589334555
t1_glycine,1,rhf,1,b3lypv5,trah,10,0,True,5,74.01,-284.0762255920
t1_c8,1,rhf,1,hf,adiis,18,0,True,34,63.66,-308.2589334555
t1_c8,1,rhf,1,hf,ediis,18,0,True,82,79.84,-308.2589334555
t1_c8,1,rhf,1,hf,soscf,18,0,True,15,51.31,-308.2589334555
t1_c8,1,rhf,1,hf,trah,18,0,True,4,73.23,-308.2589334555
t1_c8,1,rhf,1,b3lypv5,cdiis,18,0,True,15,152.23,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,ediis,18,0,True,36,191.4,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,soscf,18,0,True,16,154.46,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,adiis,18,0,True,37,193.72,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,trah,18,0,True,4,140.43,-310.1719598429
t1_c16,1,rhf,1,hf,cdiis,34,0,True,17,239.74,-615.6053159871
t1_c16,1,rhf,1,hf,adiis,34,0,True,35,298.17,-615.6053159871
t1_c16,1,rhf,1,hf,soscf,34,0,True,16,235.46,-615.6053159871
t1_c16,1,rhf,1,hf,ediis,34,0,True,64,330.0,-615.6053159871
t1_c16,1,rhf,1,hf,trah,34,0,True,4,360.51,-615.6053159871
t1_c16,1,rhf,1,b3lypv5,cdiis,34,0,True,32,709.19,-619.3761481522
t1_c16,1,rhf,1,b3lypv5,ediis,34,0,True,36,749.43,-619.3761481521
t1_c16,1,rhf,1,b3lypv5,adiis,34,0,True,39,805.6,-619.3761481522
t1_c16,1,rhf,1,b3lypv5,soscf,34,0,True,19,683.87,-619.3761481522
t1_caffeine,1,rhf,1,hf,cdiis,24,0,True,33,316.13,-675.8581183682
t1_caffeine,1,rhf,1,hf,ediis,24,0,True,39,339.63,-675.8581183683
t1_caffeine,1,rhf,1,hf,adiis,24,0,True,37,376.24,-675.8581183682
t1_caffeine,1,rhf,1,hf,soscf,24,0,True,19,299.39,-675.8581183682
t1_c16,1,rhf,1,b3lypv5,trah,34,0,True,4,670.31,-619.3761481522
t1_caffeine,1,rhf,1,hf,trah,24,0,True,10,580.63,-675.8581183679
t1_caffeine,1,rhf,1,b3lypv5,cdiis,24,0,True,33,566.85,-679.5212092633
t1_caffeine,1,rhf,1,b3lypv5,soscf,24,0,True,46,708.84,-679.5212092633
t1_caffeine,1,rhf,1,b3lypv5,ediis,24,0,True,49,1679.99,-679.5212092633
t1_porphine,1,rhf,1,hf,cdiis,38,0,True,35,964.77,-982.5553821237
t1_caffeine,1,rhf,1,b3lypv5,trah,24,0,True,12,1208.97,-679.5212092632
t1_caffeine,1,rhf,1,b3lypv5,adiis,24,0,True,68,1357.93,-679.5212092633
t1_porphine,1,rhf,1,hf,soscf,38,0,True,20,280.89,-982.5553821237
t1_porphine,1,rhf,1,hf,adiis,38,0,True,39,479.27,-982.5553821237
t1_porphine,1,rhf,1,hf,ediis,38,0,True,93,1264.15,-982.5553821237
t1_porphine,1,rhf,1,b3lypv5,ediis,38,0,True,42,657.01,-988.2198909403
t1_porphine,1,rhf,1,b3lypv5,cdiis,38,0,True,36,1373.51,-988.2198909403
t1_porphine,1,rhf,1,hf,trah,38,0,True,5,1561.89,-982.5553821238
t1_porphine,1,rhf,1,b3lypv5,adiis,38,0,True,42,663.03,-988.2198909404
t2_cr_atom,2,rohf,7,hf,cdiis,1,0,True,17,1.79,-1043.2002453431
t2_cr_atom,2,rohf,7,hf,ediis,1,0,True,25,1.88,-1043.2002453431
t2_cr_atom,2,rohf,7,hf,adiis,1,0,True,61,9.16,-1043.2002453431
t2_cr_atom,2,rohf,7,hf,soscf,1,0,True,16,1.79,-1043.2002453431
t2_cr_atom,2,rohf,7,hf,trah,1,0,True,6,4.03,-1042.9301549414
t2_cr_atom,2,rohf,7,b3lypv5,cdiis,1,0,True,14,3.55,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,ediis,1,0,True,33,4.53,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,adiis,1,0,True,22,4.28,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,soscf,1,0,True,16,4.0,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,trah,1,0,True,4,3.23,-1044.2169942756
t2_cr_atom,2,uhf,7,hf,cdiis,1,0,True,13,1.75,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,ediis,1,0,True,76,3.31,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,adiis,1,0,True,33,2.08,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,soscf,1,0,True,17,1.84,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,trah,1,0,True,4,1.55,-1043.2004396300
t2_cr_atom,2,uhf,7,b3lypv5,cdiis,1,0,True,12,3.73,-1044.2171922079
t2_cr_atom,2,uhf,7,b3lypv5,ediis,1,0,True,29,4.35,-1044.2171922079
t2_cr_atom,2,uhf,7,b3lypv5,adiis,1,0,True,30,4.22,-1044.2171922079
t2_cr_atom,2,uhf,7,b3lypv5,soscf,1,0,True,15,3.73,-1044.2171922079
t2_cr_atom,2,uhf,7,b3lypv5,trah,1,0,True,4,3.2,-1044.2171922079
t2_fe_atom,2,rohf,5,hf,cdiis,1,0,True,20,1.74,-1262.1706234459
t2_fe_atom,2,rohf,5,hf,ediis,1,0,True,29,2.01,-1262.1706234459
t2_fe_atom,2,rohf,5,hf,adiis,1,0,True,49,3.54,-1262.1706234459
t2_fe_atom,2,rohf,5,hf,soscf,1,0,True,24,1.94,-1262.1706234459
t2_fe_atom,2,rohf,5,hf,trah,1,0,True,6,3.88,-1261.8422947830
t2_fe_atom,2,rohf,5,b3lypv5,cdiis,1,0,False,241,161.73,-1263.4246053598
t2_fe_atom,2,rohf,5,b3lypv5,ediis,1,0,False,241,193.81,-1263.4246054706
t2_fe_atom,2,rohf,5,b3lypv5,adiis,1,0,False,253,215.97,-1263.4246054449
t2_fe_atom,2,rohf,5,b3lypv5,soscf,1,0,True,273,444.31,-1263.4246055465
t1_porphine,1,rhf,1,b3lypv5,soscf,38,0,True,39,1591.57,-988.2198909403
t2_fe_atom,2,uhf,5,hf,cdiis,1,0,True,27,2.59,-1262.1749887046
t2_fe_atom,2,uhf,5,hf,ediis,1,0,True,59,3.76,-1262.2652852043
t2_fe_atom,2,rohf,5,b3lypv5,trah,1,0,True,12,14.84,-1263.4246048265
t2_fe_atom,2,uhf,5,hf,adiis,1,0,True,46,2.22,-1262.1749887046
t2_fe_atom,2,uhf,5,hf,soscf,1,0,True,28,1.88,-1262.1749887046
t2_fe_atom,2,uhf,5,hf,trah,1,0,True,7,2.25,-1262.2652852043
t2_fe_atom,2,uhf,5,b3lypv5,cdiis,1,0,True,24,4.02,-1263.4261302878
t2_fe_atom,2,uhf,5,b3lypv5,ediis,1,0,True,30,4.14,-1263.4266862382
t2_fe_atom,2,uhf,5,b3lypv5,adiis,1,0,True,20,3.8,-1263.4261302878
t2_fe_atom,2,uhf,5,b3lypv5,soscf,1,0,True,32,11.01,-1263.4266862382
t2_fe_atom,2,uhf,5,b3lypv5,trah,1,0,True,9,8.92,-1263.4266862382
t2_cu_atom,2,rohf,2,hf,cdiis,1,0,True,12,1.59,-1638.6914439323
t2_cu_atom,2,rohf,2,hf,ediis,1,0,True,35,1.98,-1638.6914439323
t2_cu_atom,2,rohf,2,hf,adiis,1,0,True,35,1.94,-1638.6914439323
t2_cu_atom,2,rohf,2,hf,soscf,1,0,True,18,1.74,-1638.6914439323
t2_cu_atom,2,rohf,2,b3lypv5,cdiis,1,0,True,13,3.62,-1640.1754008064
t2_cu_atom,2,rohf,2,hf,trah,1,0,True,9,4.3,-1638.6914439323
t2_cu_atom,2,rohf,2,b3lypv5,adiis,1,0,True,42,10.74,-1640.1754008064
t2_cu_atom,2,rohf,2,b3lypv5,soscf,1,0,True,20,3.93,-1640.1754008064
t2_cu_atom,2,rohf,2,b3lypv5,trah,1,0,True,10,8.33,-1640.1754008064
t2_cu_atom,2,uhf,2,hf,cdiis,1,0,True,13,1.66,-1638.6887857850
t2_cu_atom,2,uhf,2,hf,ediis,1,0,True,67,3.13,-1638.6887857850
t2_cu_atom,2,uhf,2,hf,adiis,1,0,True,33,2.2,-1638.6887857850
t2_cu_atom,2,uhf,2,hf,soscf,1,0,True,13,1.81,-1638.6887857850
t2_cu_atom,2,uhf,2,hf,trah,1,0,True,3,1.34,-1638.6887857850
t2_cu_atom,2,uhf,2,b3lypv5,cdiis,1,0,True,14,3.55,-1640.1755758632
t2_cu_atom,2,uhf,2,b3lypv5,ediis,1,0,True,40,4.45,-1640.1755758632
t2_cu_atom,2,rohf,2,b3lypv5,ediis,1,0,True,69,46.18,-1640.1754008064
t2_cu_atom,2,uhf,2,b3lypv5,soscf,1,0,True,18,2.26,-1640.1755758632
t2_cu_atom,2,uhf,2,b3lypv5,adiis,1,0,True,33,7.43,-1640.1755758632
t2_cu_atom,2,uhf,2,b3lypv5,trah,1,0,True,9,6.83,-1640.1755758632
t2_feh2o6_2,2,uhf,5,hf,cdiis,19,2,True,33,91.91,-1717.7591276519
t2_feh2o6_2,2,uhf,5,hf,ediis,19,2,True,118,130.65,-1717.7591276520
t2_feh2o6_2,2,uhf,5,hf,adiis,19,2,True,30,104.75,-1717.7591276519
t2_feh2o6_2,2,uhf,5,hf,trah,19,2,True,8,247.07,-1717.7591276520
t2_feh2o6_2,2,uhf,5,hf,soscf,19,2,True,48,659.97,-1717.7591276519
t1_porphine,1,rhf,1,b3lypv5,trah,38,0,False,-1,2398.29,nan
t2_feh2o6_2,2,uhf,5,b3lypv5,ediis,19,2,True,25,241.29,-1721.0570361921
t2_feh2o6_2,2,uhf,5,b3lypv5,cdiis,19,2,False,-1,2400.23,nan
t2_feh2o6_2,2,uhf,5,b3lypv5,adiis,19,2,True,70,2100.6,-1721.0570361920
t2_feh2o6_3,2,uhf,6,hf,cdiis,19,3,True,19,100.75,-1717.1782475779
t2_feh2o6_3,2,uhf,6,hf,ediis,19,3,True,40,114.27,-1717.1782475779
t2_feh2o6_3,2,uhf,6,hf,adiis,19,3,True,30,116.99,-1717.1782475779
t2_feh2o6_2,2,uhf,5,b3lypv5,soscf,19,2,False,-1,2400.31,nan
t2_feh2o6_3,2,uhf,6,hf,soscf,19,3,True,44,415.62,-1717.1782475777
t2_feh2o6_3,2,uhf,6,hf,trah,19,3,True,16,2187.43,-1717.1782475778
t2_feh2o6_2,2,uhf,5,b3lypv5,trah,19,2,True,13,3983.57,-1721.0570361922
t2_feh2o6_3,2,uhf,6,b3lypv5,ediis,19,3,True,57,19327.47,-1720.4350326238
t2_feh2o6_3,2,uhf,6,b3lypv5,cdiis,19,3,True,55,21257.37,-1720.4350326238
t2_feh2o6_3,2,uhf,6,b3lypv5,adiis,19,3,False,-1,19181.44,nan
t2_mnh2o6_2,2,uhf,6,hf,cdiis,19,2,True,19,84.22,-1605.1999054975
t2_mnh2o6_2,2,uhf,6,hf,ediis,19,2,True,107,122.7,-1605.1999054974
t2_feh2o6_3,2,uhf,6,b3lypv5,trah,19,3,True,14,1409.91,-1720.4350326238
t2_mnh2o6_2,2,uhf,6,hf,soscf,19,2,True,28,277.0,-1605.1999054975
t2_feh2o6_3,2,uhf,6,b3lypv5,soscf,19,3,True,52,1888.3,-1720.4350326238
t2_mnh2o6_2,2,uhf,6,hf,trah,19,2,True,8,207.64,-1605.1999054975
t2_mnh2o6_2,2,uhf,6,hf,adiis,19,2,True,58,714.0,-1605.1999054975
t2_mnh2o6_2,2,uhf,6,b3lypv5,ediis,19,2,True,24,232.15,-1608.3896181742
t2_mnh2o6_2,2,uhf,6,b3lypv5,adiis,19,2,True,28,245.89,-1608.3896181742
t2_mnh2o6_2,2,uhf,6,b3lypv5,cdiis,19,2,True,59,907.28,-1608.3896181742
t2_n2_stretch,2,rhf,1,hf,cdiis,2,0,True,19,1.42,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,ediis,2,0,True,61,2.1,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,adiis,2,0,True,36,1.4,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,soscf,2,0,True,17,1.41,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,trah,2,0,True,5,1.29,-108.3636606103
t2_n2_stretch,2,rhf,1,b3lypv5,cdiis,2,0,True,11,3.57,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,ediis,2,0,True,35,4.6,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,adiis,2,0,True,31,4.28,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,soscf,2,0,True,11,1.93,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,trah,2,0,True,3,3.24,-108.9503608180
t2_n2_stretch,2,uhf,1,hf,cdiis,2,0,True,17,1.45,-108.6621623871
t2_n2_stretch,2,uhf,1,hf,ediis,2,0,True,57,1.97,-108.6621623871
t2_n2_stretch,2,uhf,1,hf,adiis,2,0,True,38,1.58,-108.6621623871
t2_n2_stretch,2,uhf,1,hf,soscf,2,0,True,17,1.37,-108.6621623871
t2_n2_stretch,2,uhf,1,hf,trah,2,0,True,7,1.29,-108.6621623871
t2_n2_stretch,2,uhf,1,b3lypv5,cdiis,2,0,True,17,9.21,-109.0642922735
t2_n2_stretch,2,uhf,1,b3lypv5,ediis,2,0,True,38,10.88,-109.0642922735
t2_n2_stretch,2,uhf,1,b3lypv5,adiis,2,0,True,38,10.18,-109.0642922735
t2_n2_stretch,2,uhf,1,b3lypv5,soscf,2,0,True,17,9.24,-109.0642922735
t2_n2_stretch,2,uhf,1,b3lypv5,trah,2,0,True,6,7.2,-109.0642922735
t2_f2_stretch,2,rhf,1,hf,cdiis,2,0,True,11,1.17,-198.3181165082
t2_f2_stretch,2,rhf,1,hf,ediis,2,0,True,49,1.73,-198.3181165082
t2_f2_stretch,2,rhf,1,hf,adiis,2,0,True,32,1.18,-198.3181165082
t2_f2_stretch,2,rhf,1,hf,soscf,2,0,True,11,1.21,-198.3181165082
t2_f2_stretch,2,rhf,1,hf,trah,2,0,True,3,1.14,-198.3181165082
t2_f2_stretch,2,rhf,1,b3lypv5,cdiis,2,0,True,11,3.48,-199.1568544058
t2_f2_stretch,2,rhf,1,b3lypv5,ediis,2,0,True,22,3.55,-199.1568544058
t2_f2_stretch,2,rhf,1,b3lypv5,adiis,2,0,True,30,4.16,-199.1568544058
t2_f2_stretch,2,rhf,1,b3lypv5,soscf,2,0,True,9,1.9,-199.1568544058
t2_f2_stretch,2,rhf,1,b3lypv5,trah,2,0,True,3,3.47,-199.1568544058
t2_f2_stretch,2,uhf,1,hf,cdiis,2,0,True,17,1.33,-198.5692431896
t2_f2_stretch,2,uhf,1,hf,ediis,2,0,True,46,1.88,-198.5692431896
t2_f2_stretch,2,uhf,1,hf,adiis,2,0,True,38,1.39,-198.5692431896
t2_f2_stretch,2,uhf,1,hf,soscf,2,0,True,17,1.32,-198.5692431896
t2_f2_stretch,2,uhf,1,hf,trah,2,0,True,6,1.21,-198.5692431896
t2_mnh2o6_2,2,uhf,6,b3lypv5,trah,19,2,True,17,1248.17,-1608.3896181742
t2_f2_stretch,2,uhf,1,b3lypv5,ediis,2,0,True,55,23.12,-199.2224819534
t2_mnh2o6_2,2,uhf,6,b3lypv5,soscf,19,2,True,38,1620.41,-1608.3896181742
t2_f2_stretch,2,uhf,1,b3lypv5,soscf,2,0,True,9,1.88,-199.1568544058
t2_f2_stretch,2,uhf,1,b3lypv5,trah,2,0,True,7,7.26,-199.2224819534
t3_cr2,3,uhf,1,hf,cdiis,2,0,True,29,42.31,-2086.2047839922
t3_cr2,3,uhf,1,hf,ediis,2,0,True,114,54.94,-2086.2047839922
t3_cr2,3,uhf,1,hf,adiis,2,0,True,49,46.36,-2086.2047839922
t3_cr2,3,uhf,1,hf,soscf,2,0,True,37,43.43,-2086.2047839922
t3_cr2,3,uhf,1,hf,trah,2,0,True,12,41.92,-2086.2047839922
t3_cr2,3,uhf,1,b3lypv5,cdiis,2,0,True,27,17.39,-2088.3608649454
t3_cr2,3,uhf,1,b3lypv5,ediis,2,0,True,47,20.82,-2088.3608649454
t2_f2_stretch,2,uhf,1,b3lypv5,cdiis,2,0,False,-1,2400.06,nan
t3_cr2,3,uhf,1,b3lypv5,soscf,2,0,True,46,36.45,-2088.3921153606
t3_cr2,3,uhf,1,b3lypv5,trah,2,0,True,9,51.54,-2088.4408612374
t3_mo2,3,uhf,1,hf,cdiis,2,0,True,24,20.43,-134.9658436970
t3_mo2,3,uhf,1,hf,ediis,2,0,True,68,28.45,-134.8620744768
t3_mo2,3,uhf,1,hf,adiis,2,0,True,56,26.82,-134.8620744768
t3_mo2,3,uhf,1,hf,soscf,2,0,True,40,48.89,-134.8620744768
t3_mo2,3,uhf,1,hf,trah,2,0,True,14,35.77,-134.9658436970
t3_mo2,3,uhf,1,b3lypv5,cdiis,2,0,True,16,12.4,-136.2001495054
t3_mo2,3,uhf,1,b3lypv5,ediis,2,0,True,62,77.52,-136.2141166373
t2_f2_stretch,2,uhf,1,b3lypv5,adiis,2,0,True,46,2176.59,-199.2228146825
t3_mo2,3,uhf,1,b3lypv5,adiis,2,0,True,63,72.93,-136.2141166373
t3_mo2,3,uhf,1,b3lypv5,soscf,2,0,True,51,84.88,-136.2141166373
t3_mo2,3,uhf,1,b3lypv5,trah,2,0,True,10,43.55,-136.2141166373
t3_cr2,3,uhf,1,b3lypv5,adiis,2,0,True,75,2131.06,-2088.3921159799
t3_cu2ac4,3,uhf,1,hf,cdiis,30,0,True,40,799.69,-4184.5241440472
t3_cu2ac4,3,uhf,1,hf,ediis,30,0,True,54,845.59,-4184.5241440469
t3_cu2ac4,3,uhf,1,hf,adiis,30,0,True,51,925.08,-4184.5241440471
t3_cu2ac4,3,uhf,1,hf,soscf,30,0,True,41,909.61,-4184.5241440471
t3_cu2ac4,3,uhf,1,b3lypv5,cdiis,30,0,True,41,677.8,-4192.4772048252
t3_cu2ac4,3,uhf,1,b3lypv5,ediis,30,0,True,62,988.94,-4192.4772048252
t3_cu2ac4,3,uhf,1,b3lypv5,adiis,30,0,True,60,899.77,-4192.4772048251
t3_cu2ac4,3,uhf,1,hf,trah,30,0,False,-1,2400.38,nan
t3_fe2s2,3,uhf,1,hf,cdiis,12,-2,True,41,128.24,-4910.7990267342
t3_fe2s2,3,uhf,1,hf,ediis,12,-2,True,35,134.09,-4910.7990267341
t3_cu2ac4,3,uhf,1,b3lypv5,soscf,30,0,False,-1,2400.65,nan
t3_cu2ac4,3,uhf,1,b3lypv5,trah,30,0,False,-1,2400.53,nan
t3_fe2s2,3,uhf,1,hf,adiis,12,-2,False,-1,2400.28,nan
t3_fe2s2,3,uhf,1,hf,soscf,12,-2,False,-1,2400.27,nan
t3_fe2s2,3,uhf,1,hf,trah,12,-2,False,-1,2400.22,nan
t3_fe2s2,3,uhf,1,b3lypv5,cdiis,12,-2,False,-1,2400.33,nan
t3_fe2s2,3,uhf,1,b3lypv5,ediis,12,-2,False,-1,2400.09,nan
t3_fe2s2,3,uhf,1,b3lypv5,adiis,12,-2,False,-1,2400.3,nan
t3_fe2s2,3,uhf,1,b3lypv5,soscf,12,-2,False,-1,2400.37,nan
t3_fe2s2,3,uhf,1,b3lypv5,trah,12,-2,False,-1,2400.43,nan
t3_feporph,3,uhf,3,hf,cdiis,37,0,False,-1,2400.2,nan
t3_feporph,3,uhf,3,hf,ediis,37,0,False,-1,2400.27,nan
